land,ypos,bundesland,JoinforGeoJson,ypos_scale_scatter,attacks_Bundeslander,LEQfort_city,OffStell_city,fluchtlinge_city,Zuweisungen_city,sum_city,short,city,Latitude,Longitude,head,Bundesratsstimmgewicht,area,pop,pop_per_km,imigration,language
Baden-Wuerttemberg,15,Baden-Wuerttemberg,1,3,31,1,3,1.971148179,1179,4,BW,Stuttgart,48.775846,9.182932,Grí_ne undSPD,6,"35,751",10.63,297,12.1,Deutsch
Bayern,16,Bayern,2,5,26,1,2,1.79602621,2493,3,BY,München,48.135125,11.581981,CSU,6,"70,55",12.6,179,9.9,Deutsch
Berlin,5,Berlin,3,7,23,1,2,4.530072392,15290,3,BE,Berlin,52.520007,13.404954,SPD und CDU,4,892,3.42,3836,14.9,Deutsch
Brandenburg,6,Brandenburg,4,9,16,2,2,1.823112036,291,4,BB,Potsdam,52.390569,13.064473,SPD und Linke,4,"29,654",2.45,83,2.8,"Deutsch,Niedersorbisch,Niederdeutsch"
Bremen,4,Bremen,5,16,2,2,2,3.751480005,2050,4,HB,Bremen,53.079296,8.801694,SPD undGrí_ne,3,419,657,1568,12.7,"Deutsch, Niederdeutsch"
Hamburg,3,Hamburg,6,15,3,1,2,3.715103513,6443,3,HH,Hamburg,53.551085,9.993682,SPD undGrí_ne (ehem. GAL),3,755,1.75,2313,14,"Deutsch, Niederdeutsch"
Hessen,12,Hessen,7,10,15,2,2,2.459396411,671,4,HE,Wiesbaden,50.078218,8.239761,CDU undGrí_ne,5,"21,115",6.05,286,11.5,Deutsch
Mecklenburg-Vorpommern,2,Mecklenburg-Vorpommern,8,4,27,3,3,0.690305049,63,6,MV,Schwerin,53.635502,11.40125,SPD und CDU,3,"23,212",1.6,69,2.5,"Deutsch, Niederdeutsch"
Niedersachsen,7,Niedersachsen,9,8,20,2,2,2.129472652,2384,4,NI,Hannover,52.375892,9.73201,SPD undGrí_ne,6,"47,613",7.79,164,6.9,"Deutsch,Saterfriesisch, Niederdeutsch"
Nordrhein-Westfalen,9,Nordrhein-Westfalen,10,2,47,2,3,2.403643702,1427,5,NW,Düsseldorf,51.227741,6.773456,SPD undGrí_ne,6,"34,11",17.57,515,10.7,"Deutsch, Niederdeutsch"
Rheinland-Pfalz,13,Rheinland-Pfalz,11,12,10,1,3,1.94486553,394,4,RP,Mainz,49.992862,8.247253,SPD undGrí_ne,4,"19,854",3.99,201,7.9,Deutsch
Saarland,14,Saarland,12,14,5,3,2,0.520453836,170,5,SL,Saarbruecken,49.240157,6.996933,CDU und SPD,3,"2,569",991,386,8.7,Deutsch
Sachsen,10,Sachsen,13,1,80,3,2,1.841536455,967,4,SN,Dresden,51.050409,13.737262,CDU und SPD,4,"18,42",4.05,220,2.9,"Deutsch,Obersorbisch"
Sachsen-Anhalt,8,Sachsen-Anhalt,14,6,25,3,3,2.766131417,636,6,ST,Magdeburg,52.120533,11.627624,CDU und SPD,4,"20,452",2.25,110,1.9,"Deutsch, Niederdeutsch"
Schleswig-Holstein,1,Schleswig-Holstein,15,13,8,1,2,2.638973427,633,3,SH,Kiel,54.323293,10.122765,"SPD, Grí_neund SSW",4,"15,8",2.82,178,5.3,"Deutsch, Dí_nisch,Friesisch, Plattdeutsch oder Niederdeutsch undRomanes"
Thueringen,11,Thueringen,16,11,14,2,3,2.76187434,562,5,TH,Erfurt,50.984768,11.02988,"Die Linke, SPDund Grí_ne",4,"16,173",2.16,134,2.3,Deutsch
